STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00131442,"CHEROKEE, IA US",27/08/1960,0,0,0,31.1,15.6
USC00131442,"CHEROKEE, IA US",28/08/1960,65.5,0,0,28.3,17.2
USC00131442,"CHEROKEE, IA US",29/08/1960,28.2,0,0,25,10.6
USC00131442,"CHEROKEE, IA US",30/08/1960,0,0,0,31.1,16.1
USC00131442,"CHEROKEE, IA US",31/08/1960,0,0,0,32.2,21.1
USC00131442,"CHEROKEE, IA US",01/09/1960,0,0,0,32.8,21.1
USC00131442,"CHEROKEE, IA US",02/09/1960,0,0,0,31.7,20
USC00131442,"CHEROKEE, IA US",03/09/1960,0,0,0,32.2,20
USC00131442,"CHEROKEE, IA US",04/09/1960,0,0,0,32.8,18.3
USC00131442,"CHEROKEE, IA US",05/09/1960,0,0,0,32.8,18.3
USC00131442,"CHEROKEE, IA US",06/09/1960,0,0,0,32.2,18.9
USC00131442,"CHEROKEE, IA US",07/09/1960,0,0,0,32.8,20
USC00131442,"CHEROKEE, IA US",08/09/1960,14.5,0,0,28.9,12.8
USC00131442,"CHEROKEE, IA US",09/09/1960,0,0,0,20,10
USC00131442,"CHEROKEE, IA US",10/09/1960,0,0,0,22.8,3.9
USC00131442,"CHEROKEE, IA US",11/09/1960,0,0,0,20.6,8.9
USC00131442,"CHEROKEE, IA US",12/09/1960,0,0,0,20.6,3.3
USC00131442,"CHEROKEE, IA US",13/09/1960,0,0,0,21.1,5.6
USC00131442,"CHEROKEE, IA US",14/09/1960,0,0,0,18.9,7.2
USC00131442,"CHEROKEE, IA US",15/09/1960,2,0,0,22.8,7.2
USC00131442,"CHEROKEE, IA US",16/09/1960,0,0,0,23.3,13.9
USC00131442,"CHEROKEE, IA US",17/09/1960,1.5,0,0,21.1,12.8
USC00131442,"CHEROKEE, IA US",18/09/1960,9.9,0,0,18.3,11.1
USC00131442,"CHEROKEE, IA US",19/09/1960,2.3,0,0,21.1,7.8
USC00131442,"CHEROKEE, IA US",20/09/1960,0,0,0,28.9,7.8
USC00131442,"CHEROKEE, IA US",21/09/1960,0.5,0,0,22.8,8.9
USC00131442,"CHEROKEE, IA US",22/09/1960,0,0,0,18.9,10
USC00131442,"CHEROKEE, IA US",23/09/1960,8.6,0,0,16.7,10
USC00131442,"CHEROKEE, IA US",24/09/1960,12.7,0,0,19.4,12.2
USC00131442,"CHEROKEE, IA US",25/09/1960,5.3,0,0,22.8,2.2
USC00131442,"CHEROKEE, IA US",26/09/1960,0,0,0,23.9,7.8
USC00131442,"CHEROKEE, IA US",27/09/1960,0,0,0,19.4,5
USC00131442,"CHEROKEE, IA US",28/09/1960,0,0,0,22.8,7.2
USC00131442,"CHEROKEE, IA US",29/09/1960,0,0,0,19.4,7.2
USC00131442,"CHEROKEE, IA US",30/09/1960,0,0,0,14.4,2.8
USC00131442,"CHEROKEE, IA US",01/10/1960,0,0,0,19.4,6.1
USC00131442,"CHEROKEE, IA US",02/10/1960,0,0,0,19.4,1.7
USC00131442,"CHEROKEE, IA US",03/10/1960,0,0,0,21.1,4.4
USC00131442,"CHEROKEE, IA US",04/10/1960,0,0,0,23.3,8.9
USC00131442,"CHEROKEE, IA US",05/10/1960,0,0,0,25.6,13.9
USC00131442,"CHEROKEE, IA US",06/10/1960,0,0,0,21.1,3.9
USC00131442,"CHEROKEE, IA US",07/10/1960,0,0,0,20.6,1.1
USC00131442,"CHEROKEE, IA US",08/10/1960,0,0,0,23.3,3.9
USC00131442,"CHEROKEE, IA US",09/10/1960,0,0,0,25,1.7
USC00131442,"CHEROKEE, IA US",10/10/1960,0,0,0,26.7,5
USC00131442,"CHEROKEE, IA US",11/10/1960,0,0,0,30,10
USC00131442,"CHEROKEE, IA US",12/10/1960,0,0,0,25.6,14.4
USC00131442,"CHEROKEE, IA US",13/10/1960,0,0,0,22.8,8.3
USC00131442,"CHEROKEE, IA US",14/10/1960,0,0,0,20,8.9
USC00131442,"CHEROKEE, IA US",15/10/1960,0,0,0,17.2,4.4
USC00131442,"CHEROKEE, IA US",16/10/1960,0,0,0,20,-2.8
USC00131442,"CHEROKEE, IA US",17/10/1960,0,0,0,16.7,1.7
USC00131442,"CHEROKEE, IA US",18/10/1960,0,0,0,15,1.7
USC00131442,"CHEROKEE, IA US",19/10/1960,0,0,0,10,-6.7
USC00131442,"CHEROKEE, IA US",20/10/1960,0,0,0,1.7,-12.2
USC00131442,"CHEROKEE, IA US",21/10/1960,0,0,0,18.3,-3.9
USC00131442,"CHEROKEE, IA US",22/10/1960,0,0,0,21.1,5.6
USC00131442,"CHEROKEE, IA US",23/10/1960,0,0,0,17.8,1.7
USC00131442,"CHEROKEE, IA US",24/10/1960,0,0,0,13.9,-2.2
USC00131442,"CHEROKEE, IA US",25/10/1960,0,0,0,18.9,5.6
USC00131442,"CHEROKEE, IA US",26/10/1960,0,0,0,13.9,2.8
USC00131442,"CHEROKEE, IA US",27/10/1960,0,0,0,22.8,-2.2
USC00131442,"CHEROKEE, IA US",28/10/1960,0,0,0,18.3,0
USC00131442,"CHEROKEE, IA US",29/10/1960,7.6,0,0,12.8,2.2
USC00131442,"CHEROKEE, IA US",30/10/1960,18.3,0,0,8.9,3.3
USC00131442,"CHEROKEE, IA US",31/10/1960,0,0,0,6.1,3.3
USC00131442,"CHEROKEE, IA US",01/11/1960,0,0,0,8.3,-1.1
USC00131442,"CHEROKEE, IA US",02/11/1960,0,0,0,6.7,-2.8
USC00131442,"CHEROKEE, IA US",03/11/1960,0,0,0,12.8,-3.3
USC00131442,"CHEROKEE, IA US",04/11/1960,4.8,0,0,10.6,2.8
USC00131442,"CHEROKEE, IA US",05/11/1960,1.5,0,0,8.9,-3.3
USC00131442,"CHEROKEE, IA US",06/11/1960,0,0,0,7.8,0
USC00131442,"CHEROKEE, IA US",07/11/1960,0,0,0,7.8,-6.7
USC00131442,"CHEROKEE, IA US",08/11/1960,0,0,0,6.7,1.7
USC00131442,"CHEROKEE, IA US",09/11/1960,0,0,0,1.7,-8.3
USC00131442,"CHEROKEE, IA US",10/11/1960,0,0,0,5.6,-12.8
USC00131442,"CHEROKEE, IA US",11/11/1960,0,0,0,11.1,-2.8
USC00131442,"CHEROKEE, IA US",12/11/1960,0,0,0,14.4,-0.6
USC00131442,"CHEROKEE, IA US",13/11/1960,0,0,0,13.3,-2.8
USC00131442,"CHEROKEE, IA US",14/11/1960,0,0,0,11.7,7.2
